"","x","x.1","x.2","x.3","x.4"
"1",46.53,36.4,44.25,59.6,13.51
"2",38.27,29.5,36.85,46.78,12.93
"3",35.09,25.87,35.2,42.32,12.79
"4",32.86,21.9,29.7,42.5,12.68
"5",41.69,31.7,41,50.88,13.49
"6",36.04,27.4,34.7,43.65,12.28
