"","x","x.1","x.2","x.3","x.4"
"1",38.66,29.4,37.5,47.12,12.79
"2",36.64,27.72,35.4,44.6,12.56
"3",41.17,31.1,40.5,50,13.58
"4",36.81,27.6,35.3,44.9,12.76
"5",42.92,32.2,42,53.25,14.43
