;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
456;46.3;F;branca;entre 6 e 3 salarios;todo em escola publica;A
457;38.1;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
458;60.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
459;25.0;F;branca;entre 6 e 3 salarios;todo em escola privada;A
460;44.3;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
461;48.3;F;parda;entre 6 e 3 salarios;todo em escola privada;A
462;70.4;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
463;25.7;F;parda;menor que 1.5 salarios;todo em escola privada;A
464;64.0;F;branca;entre 10 e 30 salarios;parte no brasil e parte no exterior;A
465;31.4;F;branca;entre 1.5 e 3 salarios;parte no brasil e parte no exterior;A
466;72.9;F;branca;entre 10 e 30 salarios;todo em escola privada;A
467;42.9;F;branca;maior que 30 salarios;todo em escola privada;A
468;56.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
469;38.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
470;58.2;F;branca;entre 10 e 30 salarios;parte no brasil e parte no exterior;A
471;41.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
472;49.2;F;branca;entre 10 e 30 salarios;todo em escola privada;A
473;38.5;F;parda;entre 6 e 3 salarios;todo em escola publica;A
474;31.5;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
475;28.9;F;branca;maior que 30 salarios;todo em escola privada;A
476;48.6;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
477;34.6;F;branca;menor que 1.5 salarios;todo em escola publica;A
478;46.6;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
479;26.2;F;parda;menor que 1.5 salarios;todo em escola publica;A
480;46.9;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
481;52.3;F;branca;entre 6 e 3 salarios;todo em escola privada;A
482;61.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
483;34.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
484;42.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
485;30.3;F;amarela;entre 6 e 3 salarios;todo em escola privada;A
486;53.5;F;branca;entre 10 e 30 salarios;todo em escola publica;A
487;47.5;F;parda;maior que 30 salarios;todo em escola privada;A
488;45.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
489;62.2;F;branca;maior que 30 salarios;todo em escola privada;A
490;36.1;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
491;32.6;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
514;0.0;F;parda;entre 6 e 3 salarios;todo em escola privada;A
515;26.0;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
516;31.6;F;preta;entre 3 e 4.5 salarios;todo em escola privada;A
517;40.9;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
518;30.5;F;branca;menor que 1.5 salarios;todo em escola privada;A
519;36.2;F;branca;menor que 1.5 salarios;todo em escola publica;A
520;32.5;F;parda;entre 10 e 30 salarios;todo em escola privada;A
521;43.6;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
522;29.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
523;28.4;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
524;20.1;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
525;28.5;F;amarela;entre 1.5 e 3 salarios;todo em escola publica;A
526;53.9;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
527;47.0;F;nsr;entre 3 e 4.5 salarios;todo em escola privada;A
528;36.1;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
529;33.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
530;29.0;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
531;13.0;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
532;21.1;F;amarela;menor que 1.5 salarios;todo em escola publica;A
533;33.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
534;24.6;F;parda;menor que 1.5 salarios;todo em escola publica;A
535;20.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
536;40.8;F;branca;menor que 1.5 salarios;todo em escola publica;A
537;41.0;F;nsr;entre 3 e 4.5 salarios;todo em escola privada;A
538;21.3;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
539;21.3;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
540;33.5;F;branca;menor que 1.5 salarios;todo em escola publica;A
541;22.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
542;50.1;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
543;17.0;F;branca;menor que 1.5 salarios;todo em escola publica;A
544;36.1;F;parda;menor que 1.5 salarios;todo em escola publica;A
545;39.7;F;parda;entre 10 e 30 salarios;todo em escola privada;A
546;30.2;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
547;30.3;F;preta;menor que 1.5 salarios;todo em escola publica;A
548;31.3;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
549;17.7;F;indigena;entre 1.5 e 3 salarios;todo em escola publica;A
550;27.5;F;branca;entre 4.5 e 6 salarios;maior parte em escola privada;A
551;35.5;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
552;39.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
553;32.2;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
554;58.7;F;parda;menor que 1.5 salarios;todo em escola publica;A
555;40.1;F;amarela;entre 4.5 e 6 salarios;todo em escola publica;A
556;53.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
557;29.3;F;parda;menor que 1.5 salarios;todo em escola publica;A
558;32.2;F;preta;entre 1.5 e 3 salarios;todo em escola privada;A
559;36.9;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
560;47.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
561;30.6;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
562;39.2;F;branca;entre 4.5 e 6 salarios;maior parte em escola privada;A
563;44.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
564;40.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
565;37.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
