;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
1184;54.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1185;53.2;F;branca;entre 10 e 30 salarios;todo em escola publica;A
1186;66.6;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1187;18.8;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1188;23.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1189;27.8;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1190;27.8;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1191;29.7;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1192;19.4;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1193;45.5;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1194;28.7;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1195;15.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1196;44.6;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1197;21.3;F;branca;entre 10 e 30 salarios;maior parte em escola privada;A
1198;25.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1199;17.7;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1200;35.4;F;parda;entre 4.5 e 6 salarios;maior parte em escola publica;A
1201;22.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
1202;24.3;F;parda;menor que 1.5 salarios;maior parte em escola publica;A
1203;28.6;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
1204;27.6;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1205;39.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1206;34.0;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1207;34.8;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1208;31.2;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1209;15.6;F;branca;menor que 1.5 salarios;todo em escola publica;A
1210;15.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1211;32.3;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1212;40.1;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1213;26.9;F;parda;menor que 1.5 salarios;todo em escola publica;A
1214;27.8;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
1215;19.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1216;29.1;F;parda;menor que 1.5 salarios;todo em escola publica;A
1217;32.6;F;preta;entre 1.5 e 3 salarios;todo em escola privada;A
1218;23.2;F;branca;entre 6 e 3 salarios;maior parte em escola privada;A
1219;23.6;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1220;31.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1221;37.5;F;branca;menor que 1.5 salarios;maior parte em escola publica;A
1222;31.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1223;28.1;F;parda;entre 1.5 e 3 salarios;maior parte em escola privada;A
1224;33.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1225;18.2;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1226;18.5;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1227;30.1;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1228;36.6;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1229;36.2;F;branca;menor que 1.5 salarios;todo em escola privada;A
1230;18.3;F;parda;menor que 1.5 salarios;todo em escola publica;A
1231;33.4;F;parda;entre 1.5 e 3 salarios;maior parte em escola privada;A
1232;26.2;F;preta;menor que 1.5 salarios;todo em escola publica;A
1233;48.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1234;22.0;F;parda;menor que 1.5 salarios;todo em escola publica;A
1235;20.1;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1236;23.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1237;35.8;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1238;27.0;F;nsr;entre 6 e 3 salarios;todo em escola publica;A
1239;36.6;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1240;26.1;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1241;26.1;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1242;17.1;F;parda;entre 3 e 4.5 salarios;maior parte em escola privada;A
1243;29.4;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1244;35.7;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1245;24.5;F;branca;menor que 1.5 salarios;todo em escola publica;A
1246;30.9;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1247;39.5;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1248;21.6;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1249;21.7;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1250;42.3;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1251;19.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
1252;22.4;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
1253;32.3;F;parda;menor que 1.5 salarios;todo em escola publica;A
1254;17.5;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1255;66.4;F;branca;maior que 30 salarios;todo em escola privada;A
1256;41.6;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1257;39.0;F;nsr;entre 10 e 30 salarios;todo em escola privada;A
1258;33.0;F;branca;maior que 30 salarios;todo em escola privada;A
1259;29.4;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1260;54.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1261;49.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1262;36.8;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1263;59.8;F;branca;entre 10 e 30 salarios;parte no brasil e parte no exterior;A
1264;56.0;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1265;42.8;F;nsr;entre 6 e 3 salarios;todo em escola publica;A
1266;37.5;F;preta;entre 3 e 4.5 salarios;todo em escola privada;A
1267;44.4;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1268;27.5;F;nsr;menor que 1.5 salarios;todo em escola privada;A
1269;51.8;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1270;61.6;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1271;31.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
1272;30.4;F;nsr;menor que 1.5 salarios;todo em escola publica;A
1273;36.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1274;38.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1275;12.1;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1276;33.2;F;branca;menor que 1.5 salarios;todo em escola privada;A
1277;23.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1278;56.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1279;59.2;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1280;18.9;F;branca;maior que 30 salarios;todo em escola privada;A
1281;52.9;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1282;43.3;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1283;26.4;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1284;45.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1285;52.9;F;branca;entre 10 e 30 salarios;todo em escola publica;A
1286;44.2;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1287;51.7;F;branca;entre 10 e 30 salarios;todo em escola publica;A
1288;56.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1289;63.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1290;33.9;F;branca;entre 10 e 30 salarios;todo em escola publica;A
1291;36.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1292;41.3;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1293;57.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1294;62.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1295;28.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1296;45.8;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1297;35.9;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1298;63.6;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1299;51.2;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1300;39.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1301;44.4;F;branca;maior que 30 salarios;parte no brasil e parte no exterior;A
1302;35.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1303;35.4;F;branca;maior que 30 salarios;todo em escola privada;A
1304;30.2;F;branca;maior que 30 salarios;todo em escola privada;A
1305;42.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1306;25.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1307;28.1;F;branca;maior que 30 salarios;todo em escola privada;A
1308;42.9;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1309;49.6;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1310;27.5;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1311;25.7;F;amarela;entre 3 e 4.5 salarios;todo em escola privada;A
1312;30.1;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1313;35.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1314;47.1;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1315;46.1;F;preta;entre 3 e 4.5 salarios;todo em escola privada;A
1316;40.1;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1317;31.7;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1318;30.9;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1339;23.0;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
1340;15.8;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
1341;11.2;F;parda;menor que 1.5 salarios;todo em escola publica;A
1342;23.1;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1343;26.0;F;parda;entre 4.5 e 6 salarios;maior parte em escola privada;A
1344;26.9;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1345;24.5;F;branca;menor que 1.5 salarios;todo em escola privada;A
1346;23.8;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
1347;29.9;F;parda;entre 6 e 3 salarios;maior parte em escola privada;A
1348;43.4;F;branca;menor que 1.5 salarios;todo em escola publica;A
1349;35.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1350;25.7;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1351;17.1;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1352;27.8;F;parda;menor que 1.5 salarios;todo em escola publica;A
1353;32.9;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1354;30.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1355;20.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1356;26.0;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1357;23.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
1358;39.8;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1359;29.5;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1360;30.9;F;parda;menor que 1.5 salarios;todo em escola publica;A
1361;21.5;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1362;18.8;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1363;41.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1364;0.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1365;0.0;F;preta;entre 4.5 e 6 salarios;todo em escola publica;A
1366;56.6;F;branca;entre 6 e 3 salarios;maior parte em escola privada;A
1367;4.7;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1368;49.1;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1369;19.4;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1370;27.8;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1371;33.1;F;branca;menor que 1.5 salarios;todo em escola privada;A
1372;22.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1373;36.8;F;branca;menor que 1.5 salarios;todo em escola publica;A
1374;17.9;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1375;48.8;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
1376;38.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1377;40.1;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1378;29.6;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1379;32.4;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
1380;21.0;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1381;24.9;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1382;24.6;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1383;24.4;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1384;22.0;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1385;34.3;F;parda;menor que 1.5 salarios;todo em escola privada;A
1386;21.3;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
1387;31.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
1388;36.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
1389;19.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
1390;26.0;F;amarela;menor que 1.5 salarios;todo em escola publica;A
1391;22.2;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1392;51.1;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1393;23.4;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1394;45.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
1395;33.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
1396;21.4;F;branca;menor que 1.5 salarios;todo em escola privada;A
1397;35.6;F;preta;menor que 1.5 salarios;todo em escola publica;A
1398;42.0;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
1399;24.6;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1400;57.0;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1401;50.0;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1402;33.1;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1403;41.8;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1404;29.2;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1405;20.8;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1406;33.8;F;parda;menor que 1.5 salarios;todo em escola publica;A
1407;49.3;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1408;35.4;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1409;40.4;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1410;32.2;F;amarela;entre 3 e 4.5 salarios;todo em escola publica;A
1411;27.5;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1412;33.5;F;preta;entre 10 e 30 salarios;todo em escola privada;A
1413;22.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1414;43.3;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
1415;36.3;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1416;31.6;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
1417;26.1;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1418;41.5;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1419;28.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
1420;28.1;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1421;38.2;F;preta;entre 1.5 e 3 salarios;todo em escola privada;A
1422;51.4;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1423;36.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1424;45.5;F;preta;menor que 1.5 salarios;todo em escola publica;A
1425;41.9;F;parda;maior que 30 salarios;todo em escola privada;A
1426;29.5;F;preta;menor que 1.5 salarios;todo em escola publica;A
1427;32.5;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1428;30.1;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1429;21.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1430;26.7;F;branca;entre 6 e 3 salarios;maior parte em escola privada;A
1431;20.0;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1432;28.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1433;34.2;F;parda;menor que 1.5 salarios;todo em escola publica;A
1434;50.7;F;branca;entre 6 e 3 salarios;maior parte em escola publica;A
1435;22.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1436;25.8;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
1437;14.5;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1438;37.7;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1439;34.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1440;37.6;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1441;31.9;F;preta;menor que 1.5 salarios;parte no brasil e parte no exterior;A
1442;36.5;F;preta;menor que 1.5 salarios;todo em escola publica;A
1443;49.3;F;branca;maior que 30 salarios;todo em escola privada;A
1444;66.7;F;branca;maior que 30 salarios;todo em escola privada;A
1445;36.1;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1446;27.2;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1447;48.2;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1448;46.8;F;branca;entre 6 e 3 salarios;todo no exterior;A
1449;39.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1450;41.6;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1451;29.8;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1452;28.2;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
1453;34.8;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1454;42.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1455;30.8;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1456;43.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1457;45.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1458;24.0;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1459;58.6;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1460;39.4;F;preta;entre 4.5 e 6 salarios;todo em escola publica;A
1461;46.0;F;branca;menor que 1.5 salarios;todo em escola publica;A
1462;39.7;F;branca;maior que 30 salarios;todo em escola privada;A
1463;48.1;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1464;24.4;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1465;29.9;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
1466;43.1;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1467;51.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1468;37.5;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1469;40.3;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1470;28.1;F;branca;entre 10 e 30 salarios;maior parte em escola publica;A
1471;45.1;F;preta;entre 10 e 30 salarios;todo em escola privada;A
1472;42.1;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1473;58.1;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
1474;49.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1475;53.1;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1476;35.2;F;branca;maior que 30 salarios;todo em escola privada;A
1477;51.6;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1478;62.1;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1479;40.7;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1480;44.7;F;branca;entre 4.5 e 6 salarios;maior parte em escola publica;A
1481;41.5;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1482;57.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1483;60.0;F;branca;entre 6 e 3 salarios;parte no brasil e parte no exterior;A
1484;40.1;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1485;38.8;F;branca;entre 6 e 3 salarios;todo em escola publica;A
1486;42.7;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1487;29.3;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1488;64.0;F;branca;entre 10 e 30 salarios;todo em escola publica;A
1489;23.0;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1490;29.8;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1491;25.2;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1492;33.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
1493;27.6;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
1494;44.2;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1495;28.8;F;parda;menor que 1.5 salarios;todo em escola publica;A
1506;50.1;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1507;32.6;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1508;25.5;F;preta;menor que 1.5 salarios;todo em escola publica;A
1509;31.8;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1510;23.1;F;branca;maior que 30 salarios;todo em escola privada;A
1511;36.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1512;42.7;F;branca;maior que 30 salarios;todo em escola privada;A
1513;30.3;F;branca;maior que 30 salarios;todo em escola privada;A
1514;69.6;F;branca;maior que 30 salarios;todo em escola privada;A
1515;59.2;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1516;0.0;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1517;22.4;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1518;35.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
1519;50.7;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1520;21.9;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
1521;33.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
1522;17.7;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1523;47.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1524;38.9;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1525;29.0;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1526;45.6;F;preta;entre 6 e 3 salarios;todo em escola publica;A
1527;56.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
1528;46.9;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1529;41.3;F;preta;entre 6 e 3 salarios;todo em escola publica;A
1530;35.3;F;branca;entre 3 e 4.5 salarios;maior parte em escola privada;A
1531;39.4;F;nsr;entre 3 e 4.5 salarios;todo em escola publica;A
1532;26.8;F;preta;menor que 1.5 salarios;todo em escola privada;A
1533;37.1;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
1534;37.1;F;preta;entre 1.5 e 3 salarios;todo em escola privada;A
1535;38.1;F;preta;menor que 1.5 salarios;todo em escola publica;A
1536;44.2;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1537;19.0;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1538;41.9;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1539;51.4;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
1540;19.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
1541;51.6;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1542;46.7;F;parda;entre 3 e 4.5 salarios;maior parte em escola privada;A
1543;55.1;F;preta;entre 3 e 4.5 salarios;maior parte em escola privada;A
1544;47.9;F;nsr;entre 4.5 e 6 salarios;todo em escola privada;A
1545;40.5;F;preta;entre 6 e 3 salarios;todo em escola privada;A
1546;50.2;F;preta;entre 4.5 e 6 salarios;todo em escola privada;A
1547;53.3;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
1548;29.0;F;parda;entre 6 e 3 salarios;todo em escola privada;A
1549;52.1;F;amarela;entre 6 e 3 salarios;todo em escola privada;A
1550;35.7;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
1551;42.0;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1552;33.2;F;parda;menor que 1.5 salarios;todo em escola publica;A
1553;31.1;F;preta;entre 3 e 4.5 salarios;todo em escola privada;A
1554;36.8;F;amarela;entre 6 e 3 salarios;maior parte em escola privada;A
1555;50.3;F;parda;maior que 30 salarios;todo em escola privada;A
1556;23.1;F;parda;menor que 1.5 salarios;todo em escola privada;A
1557;41.1;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
1558;45.9;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1559;42.7;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1560;25.2;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
1561;34.2;F;parda;entre 6 e 3 salarios;todo em escola publica;A
1562;22.7;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
1563;39.5;F;branca;maior que 30 salarios;todo em escola privada;A
1564;26.4;F;branca;maior que 30 salarios;todo em escola privada;A
1565;46.4;F;branca;maior que 30 salarios;todo em escola privada;A
1566;43.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1567;36.2;F;branca;maior que 30 salarios;todo em escola privada;A
1568;50.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1569;47.3;F;branca;maior que 30 salarios;todo em escola privada;A
1570;60.5;F;branca;maior que 30 salarios;todo em escola privada;A
1571;35.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1572;42.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1573;51.3;F;branca;maior que 30 salarios;todo em escola privada;A
1574;50.2;F;branca;maior que 30 salarios;todo em escola privada;A
1575;58.6;F;amarela;entre 10 e 30 salarios;todo em escola privada;A
1576;65.6;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1577;54.6;F;branca;maior que 30 salarios;todo em escola privada;A
1578;50.4;F;branca;maior que 30 salarios;todo em escola privada;A
1579;64.6;F;parda;entre 10 e 30 salarios;todo em escola privada;A
1580;52.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
1581;51.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1582;49.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1583;55.1;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1584;48.8;F;branca;maior que 30 salarios;todo em escola privada;A
1585;48.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1586;73.2;F;branca;maior que 30 salarios;todo em escola privada;A
1587;56.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1588;45.5;F;branca;maior que 30 salarios;todo em escola privada;A
1589;65.0;F;branca;maior que 30 salarios;todo em escola privada;A
1590;49.5;F;branca;maior que 30 salarios;todo em escola privada;A
1591;56.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1592;50.2;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1593;38.6;F;branca;maior que 30 salarios;parte no brasil e parte no exterior;A
1594;56.2;F;branca;maior que 30 salarios;todo em escola privada;A
1595;58.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
1596;62.9;F;branca;maior que 30 salarios;todo em escola privada;A
1597;38.6;F;branca;maior que 30 salarios;todo em escola privada;A
1598;42.7;F;branca;maior que 30 salarios;todo em escola privada;A
1599;50.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1600;45.3;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
1601;46.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
1602;59.7;F;amarela;entre 4.5 e 6 salarios;parte no brasil e parte no exterior;A
1603;40.0;F;branca;maior que 30 salarios;todo em escola privada;A
